aig_ids,"bdd,collapse","bdd,dsd","bdd,espresso","bdd,lut_bidec","bdd,sop","bdd,strash","collapse,dsd","collapse,espresso","collapse,lut_bidec","collapse,sop","collapse,strash","dsd,espresso","dsd,lut_bidec","dsd,sop","dsd,strash","espresso,lut_bidec","espresso,sop","espresso,strash","lut_bidec,sop","lut_bidec,strash","sop,strash"
ex01,30,0,3,41,10,56,30,27,71,20,86,3,41,10,56,44,7,59,51,15,66
ex02,68,0,57,2,59,11,68,125,66,9,57,57,2,59,11,59,116,68,57,9,48
ex03,0,0,1,1,4,5,0,1,1,4,5,1,1,4,5,0,3,4,3,4,1
ex04,28,0,14,44,3,61,28,14,72,31,89,14,44,3,61,58,17,75,41,17,58
ex05,7,1,19,48,0,60,8,26,55,7,67,18,47,1,59,29,19,41,48,12,60
ex06,76,0,51,49,78,181,76,127,125,2,257,51,49,78,181,2,129,130,127,132,259
ex08,35,0,35,120,14,148,35,70,155,21,183,35,120,14,148,85,49,113,134,28,162
ex09,55,0,12,137,54,122,55,67,192,1,177,12,137,54,122,125,66,110,191,15,176
ex10,2,0,0,34,9,23,2,2,36,11,25,0,34,9,23,34,9,23,25,11,14
ex12,100,1,0,101,72,170,99,100,201,28,270,1,102,71,171,101,72,170,173,69,242
ex13,16,17,79,22,21,40,1,95,38,5,56,96,39,4,57,57,100,39,43,18,61
ex14,12,0,2,2,12,8,12,14,14,24,20,2,2,12,8,0,10,6,10,6,4
ex15,43,0,16,90,23,166,43,27,133,20,209,16,90,23,166,106,7,182,113,76,189
ex16,13,0,9,8,10,11,13,22,21,3,24,9,8,10,11,1,19,2,18,3,21
ex17,88,0,17,104,74,73,88,105,192,14,161,17,104,74,73,87,91,56,178,31,147
ex18,7,0,3,13,6,34,7,4,20,1,41,3,13,6,34,16,3,37,19,21,40
ex19,0,0,0,0,5,5,0,0,0,5,5,0,0,5,5,0,5,5,5,5,0
ex20,15,0,9,21,30,66,15,24,36,15,81,9,21,30,66,12,39,57,51,45,96
ex21,208,0,92,41,209,616,208,116,249,1,824,92,41,209,616,133,117,708,250,575,825
ex23,13,0,1,7,14,11,13,12,6,1,24,1,7,14,11,6,13,12,7,18,25
ex24,102,0,4,64,111,70,102,98,166,9,172,4,64,111,70,68,107,74,175,6,181
ex25,23,0,69,39,6,206,23,92,62,17,229,69,39,6,206,30,75,137,45,167,212
ex26,13,14,2,13,6,10,1,15,0,7,23,16,1,8,24,15,8,8,7,23,16
ex27,70,5,9,77,82,174,65,61,147,12,244,4,82,77,179,86,73,183,159,97,256
ex28,76,0,14,68,86,60,76,90,144,10,136,14,68,86,60,54,100,46,154,8,146
ex29,6,0,4,38,5,50,6,10,44,11,56,4,38,5,50,34,1,46,33,12,45
ex30,6,0,109,106,6,148,6,103,100,12,142,109,106,6,148,3,115,39,112,42,154
ex32,2,0,0,23,14,21,2,2,25,16,23,0,23,14,21,23,14,21,9,2,7
ex33,72,11,44,96,46,537,83,28,168,26,609,55,85,57,526,140,2,581,142,441,583
ex34,13,0,12,21,11,57,13,25,34,2,70,12,21,11,57,9,23,45,32,36,68
ex35,21,0,47,15,3,32,21,68,36,18,53,47,15,3,32,32,50,15,18,17,35
ex36,5,0,0,177,8,205,5,5,182,13,210,0,177,8,205,177,8,205,169,28,197
ex38,43,0,8,52,38,79,43,35,95,5,122,8,52,38,79,60,30,87,90,27,117
ex40,12,0,198,41,6,238,12,210,53,18,250,198,41,6,238,157,192,40,35,197,232
ex41,79,0,8,73,17,107,79,87,152,62,186,8,73,17,107,65,25,99,90,34,124
ex42,3,0,0,64,11,45,3,3,67,14,48,0,64,11,45,64,11,45,53,19,34
ex44,73,0,3,34,79,37,73,76,107,6,110,3,34,79,37,31,82,34,113,3,116
ex45,6,0,6,15,12,7,6,12,21,18,13,6,15,12,7,9,6,1,3,8,5
ex46,3,0,0,90,11,89,3,3,93,14,92,0,90,11,89,90,11,89,79,1,78
ex47,30,29,13,3,23,20,1,43,27,7,50,42,26,6,49,16,36,7,20,23,43
ex48,94,0,39,25,81,146,94,133,119,13,240,39,25,81,146,14,120,107,106,121,227
ex49,1,0,4,25,15,27,1,5,26,16,28,4,25,15,27,21,11,23,10,2,12
ex50,12,0,4,27,8,48,12,16,39,20,60,4,27,8,48,23,4,44,19,21,40
ex51,61,0,7,12,25,49,61,54,49,36,110,7,12,25,49,5,18,56,13,61,74
ex53,9,0,20,58,13,76,9,29,67,22,85,20,58,13,76,38,7,56,45,18,63
ex54,78,0,7,92,61,184,78,85,170,17,262,7,92,61,184,85,68,177,153,92,245
ex55,43,43,10,12,0,41,0,33,55,43,84,33,55,43,84,22,10,51,12,29,41
ex56,70,0,11,123,72,94,70,81,193,2,164,11,123,72,94,112,83,83,195,29,166
ex57,25,0,27,54,57,5,25,2,79,32,30,27,54,57,5,81,30,32,111,49,62
ex58,27,0,7,55,21,94,27,20,82,6,121,7,55,21,94,62,14,101,76,39,115
ex59,0,0,4,7,0,4,0,4,7,0,4,4,7,0,4,3,4,0,7,3,4
ex60,2,0,0,4,2,6,2,2,6,0,8,0,4,2,6,4,2,6,6,2,8
ex61,25,0,31,57,2,82,25,56,82,27,107,31,57,2,82,26,29,51,55,25,80
ex62,11,0,19,54,8,61,11,30,65,3,72,19,54,8,61,35,27,42,62,7,69
ex63,7,1,13,35,12,43,6,20,42,19,50,14,36,13,44,22,1,30,23,8,31
ex64,11,0,0,27,8,34,11,11,38,3,45,0,27,8,34,27,8,34,35,7,42
ex65,69,11,16,36,66,106,58,53,105,3,175,5,47,55,117,52,50,122,102,70,172
ex66,13,13,6,8,7,0,0,7,5,6,13,7,5,6,13,2,1,6,1,8,7
ex67,30,0,2,7,7,36,30,28,37,23,66,2,7,7,36,9,5,38,14,29,43
ex68,59,0,47,22,62,75,59,12,81,3,134,47,22,62,75,69,15,122,84,53,137
ex69,173,10,93,1,118,195,163,266,174,55,368,103,11,108,205,92,211,102,119,194,313
ex70,23,0,17,18,26,11,23,40,41,3,34,17,18,26,11,1,43,6,44,7,37
ex71,28,7,67,15,17,74,35,95,43,11,102,60,8,24,67,52,84,7,32,59,91
