aig_ids,"bdd,collapse","bdd,dsd","bdd,espresso","bdd,lut_bidec","bdd,sop","bdd,strash","collapse,dsd","collapse,espresso","collapse,lut_bidec","collapse,sop","collapse,strash","dsd,espresso","dsd,lut_bidec","dsd,sop","dsd,strash","espresso,lut_bidec","espresso,sop","espresso,strash","lut_bidec,sop","lut_bidec,strash","sop,strash"
ex01,35,0,9,65,13,91,35,44,100,22,126,9,65,13,91,56,22,82,78,26,104
ex02,71,0,58,8,58,7,71,129,79,13,64,58,8,58,7,50,116,65,66,15,51
ex03,0,0,4,12,11,13,0,4,12,11,13,4,12,11,13,8,7,9,1,1,2
ex04,54,0,25,44,28,113,54,29,98,26,167,25,44,28,113,69,3,138,72,69,141
ex05,17,1,14,34,15,65,16,31,51,2,82,15,35,14,66,20,29,51,49,31,80
ex06,97,0,57,47,99,227,97,154,144,2,324,57,47,99,227,10,156,170,146,180,326
ex08,42,0,375,154,19,124,42,417,196,23,166,375,154,19,124,221,394,251,173,30,143
ex09,89,0,40,161,95,314,89,129,250,6,403,40,161,95,314,121,135,274,256,153,409
ex10,2,0,0,50,7,27,2,2,52,9,29,0,50,7,27,50,7,27,43,23,20
ex12,185,2,26,58,147,144,183,159,243,38,329,24,60,145,146,84,121,170,205,86,291
ex13,35,34,70,8,31,25,1,105,43,4,60,104,42,3,59,62,101,45,39,17,56
ex14,16,0,2,11,11,16,16,18,27,27,32,2,11,11,16,9,9,14,0,5,5
ex15,61,0,1,105,24,271,61,62,166,37,332,1,105,24,271,104,25,270,129,166,295
ex16,14,0,10,7,11,13,14,24,21,3,27,10,7,11,13,3,21,3,18,6,24
ex17,146,0,24,73,135,188,146,170,219,11,334,24,73,135,188,49,159,164,208,115,323
ex18,4,0,7,38,4,61,4,11,42,0,65,7,38,4,61,31,11,54,42,23,65
ex19,2,0,0,11,6,9,2,2,9,4,7,0,11,6,9,11,6,9,5,2,3
ex20,325,0,23,25,331,433,325,302,300,6,758,23,25,331,433,2,308,456,306,458,764
ex21,2612,2,398,2020,2621,1371,2610,2214,592,9,1241,396,2018,2619,1369,1622,2223,973,601,649,1250
ex23,12,0,9,6,10,11,12,21,6,2,23,9,6,10,11,15,19,2,4,17,21
ex24,129,0,0,72,131,135,129,129,201,2,264,0,72,131,135,72,131,135,203,63,266
ex25,553,0,291,273,517,399,553,844,280,36,952,291,273,517,399,564,808,108,244,672,916
ex26,14,17,3,11,4,36,3,17,25,10,50,20,28,13,53,8,7,33,15,25,40
ex27,122,5,16,78,125,268,117,106,200,3,390,11,83,120,273,94,109,284,203,190,393
ex28,147,0,22,58,145,118,147,169,205,2,265,22,58,145,118,36,167,96,203,60,263
ex29,3,1,14,43,10,57,4,17,46,13,60,13,42,9,56,29,4,43,33,14,47
ex30,323,0,24,57,331,541,323,347,380,8,864,24,57,331,541,33,355,517,388,484,872
ex32,4,1,2,37,12,38,3,6,41,16,42,3,38,13,39,35,10,36,25,1,26
ex33,1322,8,124,147,1317,2002,1314,1198,1175,5,3324,116,139,1309,2010,23,1193,2126,1170,2149,3319
ex34,25,0,19,48,14,104,25,44,73,11,129,19,48,14,104,29,33,85,62,56,118
ex35,16,0,57,18,6,35,16,73,34,10,51,57,18,6,35,39,63,22,24,17,41
ex36,5,0,1,278,11,268,5,4,283,16,273,1,278,11,268,279,12,269,267,10,257
ex38,67,0,12,53,61,92,67,55,120,6,159,12,53,61,92,65,49,104,114,39,153
ex40,383,0,629,121,370,498,383,1012,262,13,881,629,121,370,498,750,999,131,249,619,868
ex41,188,0,65,23,134,207,188,123,211,54,395,65,23,134,207,88,69,272,157,184,341
ex42,4,0,0,101,8,50,4,4,105,12,54,0,101,8,50,101,8,50,93,51,42
ex44,112,0,10,29,113,90,112,122,141,1,202,10,29,113,90,19,123,80,142,61,203
ex45,16,1,0,27,9,27,15,16,43,25,43,1,28,10,28,27,9,27,18,0,18
ex46,6,0,2,168,11,117,6,4,174,17,123,2,168,11,117,170,13,119,157,51,106
ex47,33,36,14,27,28,100,3,47,60,5,133,50,63,8,136,13,42,86,55,73,128
ex48,121,0,64,16,114,166,121,185,137,7,287,64,16,114,166,48,178,102,130,150,280
ex49,1,0,5,35,23,43,1,6,36,24,44,5,35,23,43,30,18,38,12,8,20
ex50,26,0,1,52,1,80,26,27,78,25,106,1,52,1,80,51,2,79,53,28,81
ex51,238,0,0,79,197,465,238,238,317,41,703,0,79,197,465,79,197,465,276,386,662
ex53,22,0,16,46,6,85,22,38,68,28,107,16,46,6,85,30,10,69,40,39,79
ex54,108,0,48,133,95,238,108,156,241,13,346,48,133,95,238,85,143,190,228,105,333
ex55,55,55,7,55,4,91,0,62,110,59,146,62,110,59,146,48,3,84,51,36,87
ex56,122,0,38,117,113,265,122,160,239,9,387,38,117,113,265,79,151,227,230,148,378
ex57,305,0,30,3,328,323,305,335,302,23,628,30,3,328,323,33,358,293,325,326,651
ex58,47,0,10,87,38,166,47,57,134,9,213,10,87,38,166,77,48,156,125,79,204
ex59,5,0,1,8,2,5,5,4,13,3,10,1,8,2,5,9,1,6,10,3,7
ex60,2,0,1,8,1,12,2,3,10,1,14,1,8,1,12,7,2,11,9,4,13
ex61,27,0,61,56,5,122,27,88,83,22,149,61,56,5,122,5,66,61,61,66,127
ex62,29,0,4,56,24,98,29,33,85,5,127,4,56,24,98,52,28,94,80,42,122
ex63,18,1,17,37,0,53,17,35,55,18,71,18,38,1,54,20,17,36,37,16,53
ex64,11,0,2,34,8,36,11,9,45,3,47,2,34,8,36,36,6,38,42,2,44
ex65,135,27,32,27,134,101,108,103,162,1,236,5,54,107,128,59,102,133,161,74,235
ex66,15,15,6,1,4,14,0,9,16,11,29,9,16,11,29,7,2,20,5,13,18
ex67,33,0,30,25,9,30,33,63,58,24,63,30,25,9,30,5,39,0,34,5,39
ex68,279,0,75,4,279,248,279,354,275,0,527,75,4,279,248,79,354,173,275,252,527
ex69,204,33,159,4,147,228,171,363,208,57,432,192,37,114,261,155,306,69,151,224,375
ex70,43,0,39,15,32,3,43,82,58,11,46,39,15,32,3,24,71,36,47,12,35
ex71,37,0,84,14,11,70,37,121,51,26,107,84,14,11,70,70,95,14,25,56,81
ex72,11,0,13,0,4,19,11,24,11,15,30,13,0,4,19,13,9,6,4,19,15
ex73,329,0,75,42,334,210,329,404,371,5,539,75,42,334,210,33,409,135,376,168,544
ex74,190,0,26,49,206,177,190,216,239,16,367,26,49,206,177,23,232,151,255,128,383
ex75,2,0,0,11,7,15,2,2,13,9,17,0,11,7,15,11,7,15,4,4,8
ex76,71,0,81,41,59,14,71,152,112,12,85,81,41,59,14,40,140,67,100,27,73
ex77,319,0,18,28,309,253,319,301,291,10,572,18,28,309,253,10,291,271,281,281,562
ex78,20,0,10,47,7,80,20,10,67,13,100,10,47,7,80,57,3,90,54,33,87
ex79,1676,34,2081,489,1623,1759,1642,3757,1187,53,3435,2115,455,1589,1793,2570,3704,322,1134,2248,3382
ex80,1,0,3,22,20,22,1,2,21,19,21,3,22,20,22,19,17,19,2,0,2
ex81,109,0,5,114,109,270,109,114,223,0,379,5,114,109,270,109,114,265,223,156,379
ex82,44,0,1,38,33,64,44,43,82,11,108,1,38,33,64,39,32,65,71,26,97
ex83,3,0,6,41,0,13,3,9,44,3,16,6,41,0,13,35,6,7,41,28,13
ex84,89,0,1,102,76,228,89,88,191,13,317,1,102,76,228,103,75,229,178,126,304
ex85,126,0,13,50,101,157,126,139,176,25,283,13,50,101,157,37,114,144,151,107,258
ex86,11,9,14,28,3,46,2,25,39,14,57,23,37,12,55,14,11,32,25,18,43
ex88,167,4,36,92,151,331,163,131,259,16,498,32,96,147,335,128,115,367,243,239,482
ex89,13,5,5,26,8,42,8,18,39,21,55,10,31,13,47,21,3,37,18,16,34
ex90,29,41,76,13,30,29,12,105,42,1,58,117,54,11,70,63,106,47,43,16,59
ex91,97,0,14,110,82,232,97,83,207,15,329,14,110,82,232,124,68,246,192,122,314
ex92,51,0,294,110,9,61,51,345,161,42,112,294,110,9,61,184,303,233,119,49,70
ex93,229,0,22,76,219,383,229,207,305,10,612,22,76,219,383,98,197,405,295,307,602
ex94,6,1,34,26,12,32,5,40,32,18,38,35,27,13,33,8,22,2,14,6,20
ex96,570,0,449,117,551,704,570,1019,453,19,1274,449,117,551,704,566,1000,255,434,821,1255
ex97,132,0,11,64,106,230,132,121,196,26,362,11,64,106,230,75,95,241,170,166,336
ex98,118,0,54,79,121,167,118,172,197,3,285,54,79,121,167,25,175,113,200,88,288
ex99,24,0,1,3,28,5,24,23,27,4,29,1,3,28,5,4,27,6,31,2,33
