aig_ids,"bdd,collapse","bdd,dsd","bdd,espresso","bdd,lut_bidec","bdd,sop","bdd,strash","collapse,dsd","collapse,espresso","collapse,lut_bidec","collapse,sop","collapse,strash","dsd,espresso","dsd,lut_bidec","dsd,sop","dsd,strash","espresso,lut_bidec","espresso,sop","espresso,strash","lut_bidec,sop","lut_bidec,strash","sop,strash"
ex01,0.7195894318785023,1.0,0.8208386665120518,0.5850638172088902,0.9389553728770488,0.5945162321163662,0.7195894318785023,0.6885119931589392,0.521856533050961,0.713185466720081,0.47131033342562023,0.8208386665120518,0.5850638172088902,0.9389553728770488,0.5945162321163662,0.6885762024583634,0.8741299736085829,0.645491447721505,0.6178783899172898,0.8360008196828438,0.613854064893365
ex02,0.5440058067207281,1.0,0.3990145810995174,0.5916625510491387,0.8607722688123634,0.6191766555791345,0.5440058067207281,0.24592715465670667,0.3439416863407234,0.5120906277231851,0.3662819444109554,0.3990145810995174,0.5916625510491387,0.8607722688123634,0.6191766555791345,0.5666454880856672,0.4133249831340585,0.5436472527576153,0.642147969947037,0.9364839981579094,0.6791972459857265
ex03,1.0,1.0,0.8210321859717511,0.659609054073247,0.5805553678425432,0.6221198156682028,1.0,0.8210321859717511,0.659609054073247,0.5805553678425432,0.6221198156682028,0.8210321859717511,0.659609054073247,0.5805553678425432,0.6221198156682028,0.7719010383269201,0.7053721745056052,0.7505341347017789,0.754565328806165,0.8989847455447789,0.8286116098063766
ex04,0.7016543338144725,1.0,0.9610908262717456,0.7134915224933089,0.882414148119967,0.6806901453509804,0.7016543338144725,0.7270352753833706,0.5382227930754336,0.7393340355209235,0.5174100897277788,0.9610908262717456,0.7134915224933089,0.882414148119967,0.6806901453509804,0.7043867822955663,0.9081107543995299,0.6723436286952105,0.7139547190448534,0.9448545654923699,0.6818059345661739
ex05,0.8891101859874152,1.0,0.9429548826965597,0.8362723338685811,0.8924261696790006,0.7927708943454015,0.8891101859874152,0.8784660219835622,0.7672813125208832,0.8585786437626906,0.7117996132791631,0.9429548826965597,0.8362723338685811,0.8924261696790006,0.7927708943454015,0.865739218762048,0.9445299803774772,0.7949330108242,0.8633940277930993,0.8887469451965758,0.7758501351498295
ex06,0.7928027763252498,1.0,0.9031775350592396,0.8928511077967719,0.8081077645316311,0.7352552480871565,0.7928027763252498,0.7184559468014874,0.7113898123257916,0.9733927893054093,0.5830815477975596,0.9031775350592396,0.8928511077967719,0.8081077645316311,0.7352552480871565,0.9869474671209546,0.7330369284569171,0.8103774025324628,0.7259530661017484,0.8174716627283766,0.5944555553244791
ex08,0.49639988628951703,1.0,0.3459864521518272,0.5271287027388225,0.7679494338885802,0.5339867305033699,0.49639988628951703,0.23227628633514819,0.3338055426850445,0.6079436628953483,0.31737439425578295,0.3459864521518272,0.5271287027388225,0.7679494338885802,0.5339867305033699,0.4581412423863711,0.2864866582858042,0.46472029535031123,0.4698239684174692,0.9266119732576505,0.4543320238537112
ex09,0.8843537414965987,1.0,0.9283629811199655,0.6891965291843443,0.7656962802940523,0.6434020011001382,0.8843537414965987,0.8256533106044242,0.6256723816343026,0.856855035744556,0.581030654422191,0.9283629811199655,0.6891965291843443,0.7656962802940523,0.6434020011001382,0.7338721210240172,0.7213504763032379,0.6827364522615265,0.5605928453233416,0.8921183479200325,0.5108705833917897
ex10,0.7556891591424681,1.0,1.0,0.46394047364295554,0.7190945663779469,0.5074519817359349,0.7556891591424681,0.7556891591424681,0.3872448942455837,0.6028447102453967,0.4226214978330627,1.0,0.46394047364295554,0.7190945663779469,0.5074519817359349,0.46394047364295554,0.7190945663779469,0.5074519817359349,0.5777483827580792,0.857788580320024,0.6496161539795873
ex12,0.7636256981419114,0.9989278138268589,0.9343473658743151,0.7371796001820923,0.5869945240285752,0.8386359809422663,0.7643288905359256,0.7915013206461801,0.9022142860463112,0.7045208061323331,0.8944917592843519,0.9347949195328727,0.737794817832904,0.5874460371046897,0.8394647474754915,0.7808834181839438,0.5840482065809589,0.8498838648258525,0.6515648722022263,0.835620344094902,0.6741534137795053
