aig_ids,"bdd,collapse","bdd,dsd","bdd,espresso","bdd,lut_bidec","bdd,sop","bdd,strash","collapse,dsd","collapse,espresso","collapse,lut_bidec","collapse,sop","collapse,strash","dsd,espresso","dsd,lut_bidec","dsd,sop","dsd,strash","espresso,lut_bidec","espresso,sop","espresso,strash","lut_bidec,sop","lut_bidec,strash","sop,strash"
ex01,0.16129032258064516,0.0,0.09090909090909091,0.125,0.02857142857142857,0.0,0.16129032258064516,0.07142857142857142,0.037037037037037035,0.13333333333333333,0.16129032258064516,0.09090909090909091,0.125,0.02857142857142857,0.0,0.034482758620689655,0.0625,0.09090909090909091,0.0967741935483871,0.125,0.02857142857142857
ex02,0.3,0.0,0.10344827586206896,0.07142857142857142,0.04,0.037037037037037035,0.3,0.391304347826087,0.36363636363636365,0.2631578947368421,0.3333333333333333,0.10344827586206896,0.07142857142857142,0.04,0.037037037037037035,0.03225806451612903,0.14285714285714285,0.06666666666666667,0.1111111111111111,0.034482758620689655,0.07692307692307693
ex03,0.0,0.0,0.09090909090909091,0.09090909090909091,0.2857142857142857,0.16666666666666666,0.0,0.09090909090909091,0.09090909090909091,0.2857142857142857,0.16666666666666666,0.09090909090909091,0.09090909090909091,0.2857142857142857,0.16666666666666666,0.0,0.2,0.07692307692307693,0.2,0.07692307692307693,0.125
ex04,0.1875,0.0,0.02702702702702703,0.0,0.08571428571428572,0.0,0.1875,0.16129032258064516,0.1875,0.10344827586206896,0.1875,0.02702702702702703,0.0,0.08571428571428572,0.0,0.02702702702702703,0.058823529411764705,0.02702702702702703,0.08571428571428572,0.0,0.08571428571428572
ex05,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.07692307692307693,0.034482758620689655,0.037037037037037035,0.0,0.0,0.04,0.07142857142857142,0.037037037037037035,0.037037037037037035,0.07692307692307693,0.034482758620689655,0.0,0.04,0.07142857142857142,0.04,0.07142857142857142,0.1111111111111111
ex06,0.1111111111111111,0.0,0.03225806451612903,0.03225806451612903,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.14285714285714285,0.14285714285714285,0.0,0.25,0.03225806451612903,0.03225806451612903,0.1111111111111111,0.14285714285714285,0.0,0.14285714285714285,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.25
ex08,0.26666666666666666,0.0,0.07317073170731707,0.02702702702702703,0.1875,0.02564102564102564,0.26666666666666666,0.3333333333333333,0.2413793103448276,0.08333333333333333,0.2903225806451613,0.07317073170731707,0.02702702702702703,0.1875,0.02564102564102564,0.1,0.2571428571428571,0.047619047619047616,0.16129032258064516,0.05263157894736842,0.21212121212121213
ex09,0.024390243902439025,0.0,0.0,0.0,0.10526315789473684,0.06666666666666667,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.08108108108108109,0.09090909090909091,0.0,0.0,0.10526315789473684,0.06666666666666667,0.0,0.10526315789473684,0.06666666666666667,0.10526315789473684,0.06666666666666667,0.17073170731707318
ex10,0.2,0.0,0.0,0.04,0.0,0.04,0.2,0.2,0.23809523809523808,0.2,0.23809523809523808,0.0,0.04,0.0,0.04,0.04,0.0,0.04,0.04,0.0,0.04
ex12,0.043478260869565216,0.0,0.043478260869565216,0.11627906976744186,0.07692307692307693,0.0,0.043478260869565216,0.0,0.07317073170731707,0.12,0.043478260869565216,0.043478260869565216,0.11627906976744186,0.07692307692307693,0.0,0.07317073170731707,0.12,0.043478260869565216,0.19148936170212766,0.11627906976744186,0.07692307692307693
